PROVINCE,LOCATION,STORM TIDE,DATETIME,lat,lon
Leyte,Ormoc,5.2,"11-08-2013 14:00,",11.00000,124.60000
Eastern Samar,Matarinao Bay,4.7,"11-08-2013 08:00,",11.23330,125.58330
Quezon,Port Pusgo,4.6,"11-09-2013 02:10,",13.51670,122.60000
Quezon,Santa Cruz Harbor,4.3,"11-09-2013 02:10,",13.50000,122.06670
Biliran,"Poro Island, Biliran Str",4.3,"11-08-2013 12:30,",11.46670,124.48330
Iloilo,Banate,4.1,"11-09-2013 02:00,",11.00000,122.81670
Palawan,Port Barton,4,"11-09-2013 01:30,",10.46670,119.13330
Leyte,Palompon,3.6,"11-08-2013 13:20,",11.05000,124.38330
Leyte,"Tacloban, San Juanico Str",3.6,"11-08-2013 10:00,",11.25000,125.00000
Cebu,Tuburan,3.4,"11-08-2013 13:20,",10.73330,123.81670
Eastern Samar,"Andis Island, Port Borongan",3.3,"11-08-2013 08:30,",11.65000,125.48330
Negros Occidental,Himugaan River Entr,3.2,"11-08-2013 15:10,",10.95000,123.40000
Masbate,Bogo Bay,3.2,"11-08-2013 13:50,",11.06670,124.00000
Masbate,Masbate,3.1,"11-08-2013 14:40,",12.36670,123.61670
Samar,Ulugan Bay,3,"11-09-2013 01:00,",10.10000,118.78330
Negros Occidental,Cadiz,3,"11-08-2013 14:40,",10.95000,123.31670
Oriental Mindoro,"Port Concepcion, Maestre de Campo I",2.9,"11-09-2013 01:50,",12.91670,121.73330
Northern Samar,"Helm Harbor, Gamay Bay",2.8,"11-08-2013 09:30,",12.30000,125.35000
Quezon,Lamon Bay: Sangirin Bay,2.8,"11-08-2013 21:50,",14.20000,121.91670
Oriental Mindoro,Calapan Bay,2.7,"11-09-2013 02:00,",13.43330,121.18330
Negros Occidental,Carcar Bay,2.7,"11-08-2013 15:30,",10.08330,123.65000
Quezon,Torrijos,2.7,"11-09-2013 02:30,",13.31670,122.08330
Negros Occidental,Danao River Entr,2.7,"11-08-2013 15:30,",10.81670,123.55000
Quezon,Aguasa Bay,2.6,"11-09-2013 02:20,",13.28330,122.51670
Masbate,Port Barrera,2.6,"11-08-2013 15:10,",12.50000,123.36670
Camarines Norte,Lamon Bay: Apat Bay,2.6,"11-08-2013 20:50,",14.01670,122.31670
Camarines Sur,Tabgon Bay,2.5,"11-08-2013 21:10,",13.83330,123.81670
Albay,"Tabaco, Tabaco Bay",2.5,"11-08-2013 20:30,",13.36670,123.73330
Aklan,Aclan River Entr,2.5,"11-09-2013 02:10,",11.73330,122.36670
Leyte,"Canauay Island, Janabatas Ch",2.4,"11-07-2013 00:50,",11.43330,124.85000
Capiz,Libas (Capiz Landing),2.4,"11-09-2013 02:20,",11.60000,122.71670
Samar,Talalora,2.3,"11-07-2013 00:50,",11.53330,124.83330
Occidental Mindoro,Mangarin,2.3,"11-09-2013 00:40,",12.35000,121.10000
Batangas,"Anilao, Balayan Bay",2.3,"11-09-2013 01:30,",13.76670,120.91670
Iloilo,Miagao,2.3,"11-09-2013 01:00,",10.63330,122.23330
Occidental Mindoro,"Apo Island, Mindoro Str",2.3,"11-09-2013 01:10,",12.66670,120.40000
Antique,Aniniy,2.2,"11-09-2013 00:40,",10.43330,121.91670
Camarines Sur,"Cabgan Island, San Miguel Bay",2.2,"11-08-2013 09:30,",13.76670,123.26670
Occidental Mindoro,Sablayan,2.2,"11-09-2013 01:10,",12.83330,120.76670
Antique,San Jose,2.6,"11-09-2013 01:00,",10.73330,121.93330
Cebu,Carmen,2.1,"11-07-2013 00:40,",10.58330,124.01670
Bohol,Maribojoc,2.1,"11-09-2013 01:20,",9.73330,123.83330
Southern Leyte,"Liloan, Sogod Bay",2.1,"11-09-2013 00:50,",10.15000,125.11670
Camarines Norte,Port Jose Panganiban,2.1,"11-08-2013 21:30,",14.30000,122.68330
Southern Leyte,Maasin,2.1,"11-09-2013 01:20,",10.13330,124.83330
Camarines Norte,Lamon Bay: Capalonga,2.1,"11-08-2013 20:40,",14.33330,122.48330
Negros Occidental,Campomanes Bay,2,"11-09-2013 00:50,",9.70000,122.41670
Camarines Norte,"Guintinua Island, Calagua Isls",2,"11-08-2013 21:10,",14.41670,122.93330
Oriental Mindoro,Port Galera,2,"11-09-2013 01:20,",13.51670,120.96670
Palawan,Eran Bay,1.9,"11-09-2013 01:50,",9.08330,117.70000
Samar,"Uban Point, San Juanico Str",1.8,"11-06-2013 23:30,",11.36670,124.98330
Palawan,Puerto Princesa,1.8,"11-09-2013 00:20,",13.45686,123.68006
Sorsogon,Butag Bay,1.8,"11-09-2013 02:20,",12.61670,123.93330
Camarines Norte,Mercedes,1.8,"11-08-2013 21:10,",14.11670,123.01670
Surigao del Norte,Tandag,1.8,"11-06-2013 19:30,",9.08330,126.20000
Eastern Samar,Hilaban Island,1.76,"11-06-2013 19:30,",12.03330,125.56670
Surigao del Norte,Surigao,1.7,"11-09-2013 01:00,",9.80000,125.48330
Sorsogon,Gubat,1.7,"11-08-2013 20:40,",12.91670,124.13330
Northern Samar,Calbayog,1.6,"11-07-2013 00:20,",12.06670,124.58330
Zambales,Port Silanguin,1.4,"11-09-2013 01:10,",14.76670,120.11670
Northern Samar,Talisay Island,1.4,"11-08-2013 10:00,",12.65000,124.41670
Cavite,"Corregidor Island, Manila Bay",1.4,"11-09-2013 01:10,",14.38330,120.60000
Metro Manila,"Manila, Philippines",1.3,"11-06-2013 23:00,",14.58330,120.96670
Sorsogon,San Bernardino Island,1.3,"11-08-2013 09:00,",12.75000,124.28330
Southern Leyte,Hinunangan,1.2,"11-08-2013 22:50,",10.40000,125.20000
Leyte,Abuyog,1.2,"11-08-2013 22:10,",10.75000,125.01670
Northern Samar,Biri Island,1.2,"11-08-2013 09:30,",12.65000,124.36670
Eastern Samar,Guiuan,1.2,"11-08-2013 07:40,",11.03330,125.71670
